,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
128,Palm Beach,75,AU,1545289860,94,-33.6,151.32,84.2,19.46
129,Nome,90,US,1545290100,90,30.04,-94.42,53.24,5.82
130,Port Alfred,48,ZA,1545291778,81,-33.59,26.89,72.41,5.61
131,Talnakh,0,RU,1545292137,37,69.49,88.39,-25.02,13.78
132,Ilulissat,92,GL,1545288600,92,69.22,-51.1,26.6,4.5
133,Sakaraha,8,MG,1545292137,45,-22.91,44.53,89.06,4.94
134,Hubli,0,IN,1545292137,51,15.35,75.17,82.26,5.39
135,Yauya,56,PE,1545292138,100,-8.99,-77.29,41.18,1.48
136,Thompson,90,CA,1545289200,84,55.74,-97.86,3.2,2.24
137,Avarua,75,CK,1545289200,83,-21.21,-159.78,78.8,3.36
138,Dibuluan,92,PH,1545292138,76,16.52,121.76,77.04,3.38
139,Bingol,90,TR,1545288600,87,38.88,40.49,42.8,1.12
140,Khatanga,48,RU,1545292045,66,71.98,102.47,-22.37,9.64
141,Maihar,0,IN,1545292138,46,24.26,80.76,73.04,4.61
142,Coihaique,0,CL,1545289200,93,-45.58,-72.07,48.2,4.7
143,Jalu,0,LY,1545292139,53,29.03,21.55,61.11,4.38
144,Visnes,75,NO,1545290400,75,59.36,5.22,42.8,20.8
145,Tanout,0,NE,1545292139,32,14.97,8.88,65.66,15.01
146,Halifax,5,CA,1545289200,79,44.65,-63.58,23.0,8.05
147,Tasiilaq,0,GL,1545288600,74,65.61,-37.64,28.4,1.12
148,At-Bashi,76,KG,1545292139,83,41.17,75.81,20.93,3.6
149,Saint-Philippe,1,CA,1545291300,58,45.36,-73.48,32.0,6.93
150,Camalu,0,MX,1545292140,87,30.85,-116.07,42.21,2.59
151,Naifaru,64,MV,1545292140,100,5.44,73.37,80.33,6.4
152,Petropavlovsk-Kamchatskiy,0,RU,1545289200,71,53.05,158.65,8.6,6.71
153,Sechura,0,PE,1545292141,86,-5.56,-80.82,70.79,8.52
154,Namibe,0,AO,1545292141,100,-15.19,12.15,72.68,5.61
155,Rawson,0,AR,1545292141,85,-43.3,-65.11,55.04,13.44
156,Santa Maria,80,BR,1545292142,98,-29.69,-53.81,67.91,2.71
157,Smithers,90,CA,1545290280,100,54.78,-127.17,26.6,1.92
158,Bunia,0,CD,1545292142,79,1.56,30.25,80.1,4.16
159,Vila Velha,75,BR,1545289200,83,-3.71,-38.6,78.8,6.93
160,Omboue,76,GA,1545292143,100,-1.57,9.26,80.01,4.94
161,Sumenep,48,ID,1545292143,100,-7.02,113.87,80.28,8.19
162,Provideniya,0,RU,1545292031,100,64.42,-173.23,-7.88,9.08
163,Lebu,0,ET,1545292035,34,8.96,38.73,67.82,6.4
164,Bambous Virieux,40,MU,1545289200,62,-20.34,57.76,84.2,16.11
165,New Norfolk,20,AU,1545291000,48,-42.78,147.06,62.6,17.22
166,Bratsk,40,RU,1545291000,72,56.15,101.63,12.2,6.71
167,Tulum,40,MX,1545288240,83,20.21,-87.46,78.8,9.17
168,Storsteinnes,0,NO,1545290400,84,69.24,19.23,28.4,16.11
169,Peniche,75,PT,1545289200,93,39.36,-9.38,53.6,3.36
170,Narsaq,8,GL,1545292144,70,60.91,-46.05,20.79,8.19
171,Inverness,0,GB,1545290400,100,57.48,-4.23,37.4,1.12
172,Hasaki,40,JP,1545291000,61,35.73,140.83,50.0,3.36
173,Hualmay,44,PE,1545292145,94,-11.1,-77.61,62.55,3.71
174,Carutapera,24,BR,1545292145,91,-1.2,-46.02,77.76,8.08
175,Altay,68,CN,1545292145,74,47.83,88.13,3.51,3.38
176,Husavik,20,CA,1545292060,93,50.56,-96.99,15.84,12.55
177,Plastunovskaya,20,RU,1545291000,80,45.3,39.27,35.6,11.18
178,Bethanien,0,NA,1545292146,27,-26.5,17.16,80.46,5.06
179,Kitui,8,KE,1545292146,57,-1.37,38.02,80.46,9.75
180,Damara,5,CF,1545289200,88,4.96,18.7,64.4,8.52
181,Mandera,0,ET,1545292147,33,3.94,41.86,89.46,13.22
182,Papara,75,BR,1545289200,83,-3.98,-38.73,78.8,6.93
183,Norman Wells,40,CA,1545289200,83,65.28,-126.83,-7.61,2.24
184,Winneba,12,GH,1545289200,94,5.35,-0.62,78.8,9.17
185,Bethel,20,US,1545291360,90,60.79,-161.76,-13.01,3.36
186,Coquimbo,40,CL,1545289200,93,-29.95,-71.34,57.2,3.49
187,Kavieng,76,PG,1545292060,100,-2.57,150.8,83.43,4.05
188,Svetlogorsk,40,RU,1545291000,77,53.14,59.15,5.0,4.72
189,Longyearbyen,75,NO,1545290400,74,78.22,15.63,35.6,18.34
190,Tezu,0,IN,1545292148,71,27.93,96.16,60.21,1.48
191,Douentza,12,ML,1545292148,28,15.01,-2.95,72.36,4.16
192,Kodiak,1,US,1545291300,64,39.95,-94.76,40.82,11.41
193,Severobaykalsk,68,RU,1545292148,76,55.65,109.32,8.69,3.94
194,Cidreira,20,BR,1545292062,93,-30.17,-50.22,72.41,5.84
195,Kitimat,90,CA,1545289200,85,54.02,-128.69,32.0,2.24
196,Cap Malheureux,40,MU,1545289200,62,-19.98,57.61,84.2,16.11
197,Maple Creek,12,CA,1545292149,75,49.91,-109.46,26.46,9.64
198,Pisco,44,PE,1545289200,82,-13.71,-76.2,68.0,2.15
199,Saint-Leu,90,RE,1545291000,54,-21.15,55.28,84.2,11.41
200,Chuy,92,UY,1545292050,100,-33.69,-53.46,67.73,11.21
201,Cairns,8,AU,1545289200,62,-16.92,145.77,89.6,10.29
202,Kloulklubed,90,PW,1545288600,94,7.04,134.26,78.8,9.17
203,Lata,0,IN,1545292151,53,30.78,78.62,51.17,2.15
204,Leh,20,IN,1545292151,83,34.16,77.58,4.46,2.93
205,Sumbe,48,AO,1545292151,89,-11.2,13.84,79.43,5.73
206,Lagoa,0,PT,1545289200,93,37.14,-8.45,50.0,2.59
207,Madimba,40,CM,1545289200,94,4.42,9.93,78.8,3.36
208,Airai,20,TL,1545292065,63,-8.93,125.41,81.09,2.04
209,Marsa Matruh,92,EG,1545292152,63,31.35,27.25,61.2,10.31
210,Fortuna,0,ES,1545289200,71,38.18,-1.13,53.6,5.82
211,Ayorou,8,NE,1545292152,24,14.73,0.92,70.2,11.99
212,Maine-Soroa,12,NE,1545292152,33,13.21,12.02,71.42,14.0
213,Kalemie,92,CD,1545292152,100,-5.95,29.2,68.4,5.73
214,Grindavik,0,IS,1545291000,100,63.84,-22.43,33.8,8.05
215,Tsogni,88,GA,1545292153,98,-2.79,10.1,79.43,1.7
216,Madison,90,US,1545291300,84,43.07,-89.38,43.16,4.7
217,Lodja,88,CD,1545292153,86,-3.52,23.6,75.47,3.04
218,Arroio dos Ratos,20,BR,1545289200,94,-30.09,-51.73,73.4,2.24
219,Suez,12,EG,1545292154,60,29.97,32.54,62.78,7.52
220,Sao Joao da Barra,0,BR,1545292059,99,-21.64,-41.05,78.62,7.74
221,Alofi,64,NU,1545289200,88,-19.06,-169.92,77.0,1.12
222,Beloha,0,MG,1545292154,34,-25.17,45.06,96.71,11.77
223,Zhangjiakou,48,CN,1545292154,44,40.77,114.88,30.92,4.83
224,Vila Franca do Campo,75,PT,1545289200,93,37.72,-25.43,62.6,9.17
225,Kamloops,68,CA,1545292155,67,50.68,-120.34,31.46,3.6
226,Benton Harbor,75,US,1545290220,65,42.12,-86.45,44.6,3.36
227,Leticia,75,CO,1545289200,100,-4.21,-69.94,73.4,2.24
228,Upernavik,88,GL,1545291774,100,72.79,-56.15,12.02,14.0
229,Pervomayskoye,24,RU,1545292155,72,57.07,86.23,-10.44,13.78
230,Port Macquarie,20,AU,1545289200,46,-31.43,152.91,91.4,13.87
231,Mangan,0,IN,1545291507,47,27.5,88.54,37.35,1.59
232,Ribeira Grande,75,PT,1545289200,93,38.52,-28.7,64.4,14.99
233,Itupiranga,0,BR,1545289200,88,-5.13,-49.33,77.0,3.36
234,Kalmunai,92,LK,1545292156,100,7.42,81.82,75.78,8.86
235,Miandrivazo,8,MG,1545292156,51,-19.53,45.46,90.09,4.38
236,Apache Junction,1,US,1545290100,62,33.41,-111.55,51.98,8.05
237,Sioux Lookout,90,CA,1545289200,92,50.1,-91.92,26.6,6.93
238,Vincennes,40,US,1545291300,77,38.68,-87.53,48.92,3.36
239,Kirakira,56,SB,1545292156,100,-10.46,161.92,84.02,8.75
240,Huarmey,64,PE,1545292105,91,-10.07,-78.15,65.79,2.93
241,Mopipi,20,BW,1545292157,32,-21.2,24.86,91.67,3.6
242,Mersing,48,MY,1545292157,83,2.43,103.84,83.66,12.21
243,Awbari,24,LY,1545292157,38,26.59,12.77,55.08,4.5
244,Charters Towers,92,AU,1545292157,63,-20.07,146.27,85.28,9.31
245,Khandagayty,56,MN,1545292157,74,50.73,92.07,6.08,3.83
246,Garanhuns,88,BR,1545292157,94,-8.89,-36.49,64.44,7.4
247,Belaya Gora,64,RU,1545292158,74,68.54,146.19,-37.4,2.93
248,Kailua,90,US,1545289020,65,21.39,-157.74,73.04,10.29
249,Rafraf,40,TN,1545289200,93,37.19,10.18,50.0,7.18
250,Strezhevoy,0,RU,1545291000,83,60.73,77.6,-11.21,6.71
251,Mundo Nuevo,0,CL,1545289200,100,-32.72,-71.41,53.6,2.93
252,Dunmore Town,20,BS,1545292158,100,25.5,-76.65,77.4,16.24
253,Severo-Kurilsk,32,RU,1545292077,100,50.68,156.12,20.21,6.73
254,Constitucion,0,MX,1545292064,61,23.99,-104.67,29.7,6.62
255,Oktyabrskiy,75,RU,1545291000,85,55.61,37.97,14.0,6.71
256,Svobodnyy,80,RU,1545292160,91,53.85,40.53,12.92,6.73
257,Alta Floresta,24,BR,1545292160,98,-9.87,-56.08,71.33,2.04
258,Nago,75,IT,1545290400,93,45.88,10.89,37.4,6.93
259,Marrakesh,32,MA,1545291000,87,31.63,-7.99,46.4,1.12
260,Broome,40,GB,1545290400,87,52.47,1.45,43.7,10.29
261,Leningradskiy,8,RU,1545292161,100,69.38,178.42,-17.73,4.05
262,Taltal,20,CL,1545292161,100,-25.41,-70.49,52.2,0.69
263,Kenai,90,US,1545288960,81,60.55,-151.26,19.94,5.82
264,Lewiston,90,US,1545288960,70,46.42,-117.02,41.0,9.17
265,Blythe,1,US,1545288720,54,33.61,-114.59,53.06,8.05
266,Tibana,75,RO,1545289200,79,46.98,27.33,21.2,5.82
267,Melfi,20,IT,1545288900,86,41.0,15.66,37.4,4.7
268,Baswa,0,IN,1545292162,54,27.15,76.58,72.32,4.5
269,Ritchie,0,ZA,1545289200,36,-29.03,24.6,77.0,10.29
270,Smolenka,88,PL,1545292163,88,54.15,22.76,21.02,14.23
271,Katobu,56,ID,1545292163,78,-4.94,122.53,87.84,10.54
272,Kahului,40,US,1545288960,84,20.89,-156.47,69.98,10.29
273,Canete,20,IT,1545290400,92,46.33,9.49,10.4,1.12
274,Padang,20,ID,1545289200,66,-0.92,100.36,87.8,4.7
275,Ibra,0,OM,1545292164,56,22.69,58.55,74.34,2.59
276,Champerico,88,MX,1545292164,100,16.38,-93.6,65.12,2.48
277,Ambon,0,FR,1545289200,93,47.55,-2.56,48.2,3.36
278,San Fernando,0,CL,1545289200,76,-34.58,-70.99,57.2,3.36
279,Maun,40,BW,1545289200,42,-19.99,23.42,86.0,11.41
280,Svetlaya,0,RU,1545292167,100,46.54,138.33,23.99,15.12
281,San Patricio,20,PY,1545292090,84,-26.98,-56.83,76.59,3.49
282,Klaksvik,68,FO,1545290400,87,62.23,-6.59,44.6,11.41
283,Coari,24,BR,1545292167,95,-4.09,-63.14,74.43,3.94
284,Clyde River,90,CA,1545290280,77,70.47,-68.59,-2.21,17.22
285,Palmer,20,AU,1545291000,49,-34.85,139.16,69.8,16.11
286,Aquiraz,75,BR,1545289200,83,-3.9,-38.39,78.8,6.93
287,Aksarka,76,RU,1545292168,82,66.56,67.8,10.08,17.02
288,Valparaiso,1,US,1545291300,72,41.47,-87.06,44.6,4.7
289,Bilibino,0,RU,1545292043,0,68.06,166.44,-43.88,2.37
290,Mantua,75,IT,1545290400,93,45.16,10.79,37.4,6.93
291,Cherskiy,0,RU,1545292034,0,68.75,161.3,-41.18,2.04
292,Sudak,68,UA,1545292168,100,44.85,34.97,33.75,6.73
293,San Ramon,88,NI,1545292168,98,12.92,-85.84,66.47,1.81
294,Aklavik,90,CA,1545289200,84,68.22,-135.01,3.2,3.94
295,Xam Nua,0,LA,1545292169,66,20.42,104.04,72.59,2.71
296,Balkanabat,36,TM,1545292169,82,39.51,54.36,35.51,6.4
297,Esperance,20,TT,1545289200,94,10.24,-61.45,75.2,3.36
298,Nuwara Eliya,92,LK,1545292169,90,6.97,80.77,73.76,3.49
299,Naze,0,NG,1545289200,93,5.43,7.07,66.2,3.36
300,Marshall,40,US,1545291300,77,39.39,-87.69,48.02,3.36
301,Bagdarin,12,RU,1545292170,67,54.44,113.59,-0.95,2.59
302,Guerrero Negro,0,MX,1545292092,83,27.97,-114.04,49.28,2.71
303,Ambilobe,8,MG,1545292056,97,-13.19,49.05,80.28,8.75
304,Oranjemund,0,ZA,1545292170,93,-28.55,16.43,62.87,19.26
305,Imelda,88,PH,1545292170,100,7.64,122.93,74.39,1.36
306,Storozhevaya,56,RU,1545292171,51,43.89,41.46,41.58,2.37
307,Killarney,8,AU,1545292172,79,-28.34,152.3,75.51,1.25
308,Kysyl-Syr,56,RU,1545292172,66,63.9,122.77,-15.03,7.4
309,Tshikapa,76,CD,1545292172,89,-6.42,20.79,77.81,3.04
310,Sao Filipe,36,CV,1545292084,95,14.9,-24.5,74.25,16.8
311,Ahipara,92,NZ,1545292172,92,-35.17,173.16,63.77,15.79
312,Siguiri,8,GN,1545292172,39,11.42,-9.17,75.6,10.54
313,Karratha,0,AU,1545292084,26,-20.74,116.85,90.86,10.87
314,Codrington,40,AU,1545291240,58,-28.95,153.24,95.0,10.29
315,Manta,76,RO,1545292173,99,45.1,24.1,26.87,3.27
316,Bermejillo,0,MX,1545292173,36,25.89,-103.62,46.98,7.4
317,Grand Gaube,40,MU,1545289200,62,-20.01,57.66,84.2,16.11
318,Sri Aman,75,MY,1545289200,88,1.24,111.46,80.6,4.7
319,Mount Vernon,1,US,1545288960,61,40.91,-73.84,39.92,4.7
320,Samarai,56,PG,1545291781,100,-10.62,150.67,80.96,7.18
321,Chillicothe,1,US,1545291360,77,39.33,-82.98,36.68,6.62
322,Tautira,75,PF,1545291360,74,-17.73,-149.15,80.6,2.24
323,College,20,US,1545289080,84,64.86,-147.8,-3.64,2.71
324,Chulym,32,RU,1545292174,67,55.09,80.97,-8.87,12.66
325,Pathein,92,MM,1545292175,100,16.78,94.73,75.02,4.94
326,Saint-Pierre,90,FR,1545289200,93,48.95,4.24,46.4,16.11
327,Mashhad,90,IR,1545291000,100,36.3,59.61,37.4,3.6
328,Iwaki,20,JP,1545289200,69,37.05,140.89,39.2,3.36
329,Lohja,75,FI,1545290400,100,60.25,24.07,24.8,5.82
330,Waipawa,32,NZ,1545292175,94,-39.94,176.59,55.53,9.64
331,Banes,5,CU,1545288600,88,20.96,-75.72,69.8,6.93
332,Lagunillas,0,VE,1545292176,98,8.5,-71.39,43.88,1.59
333,Tramagal,40,PT,1545289200,100,39.45,-8.25,51.8,3.36
334,Opuwo,20,NA,1545292176,22,-18.06,13.84,90.09,4.5
335,Atasu,32,KZ,1545292176,91,48.68,71.64,10.44,7.07
336,Salvador,20,BR,1545289200,88,-12.98,-38.48,75.2,3.36
337,Westport,92,IE,1545292177,99,53.8,-9.52,46.53,19.04
338,Atherton,75,GB,1545290400,87,53.52,-2.49,46.4,5.82
339,Mana,0,RS,1545291000,92,43.52,20.24,24.8,1.12
340,Mayo,40,CA,1545289200,78,63.59,-135.9,14.0,3.36
341,Boende,32,CD,1545292177,82,-0.28,20.88,82.26,2.93
342,Yumen,0,CN,1545292096,62,40.29,97.04,29.57,7.18
343,Batemans Bay,92,AU,1545292178,99,-35.71,150.18,67.14,5.28
344,Hambantota,75,LK,1545289800,70,6.12,81.12,87.8,3.36
345,Sola,75,NO,1545290400,75,58.89,5.65,42.8,12.75
346,Mehamn,0,NO,1545288600,68,71.03,27.85,26.6,16.11
347,Pochutla,0,MX,1545292178,100,15.74,-96.47,75.47,11.21
348,Varkaus,90,FI,1545290400,85,62.32,27.87,14.0,4.7
349,Otorohanga,76,NZ,1545292178,87,-38.18,175.2,58.91,4.38
350,Tuatapere,76,NZ,1545292099,100,-46.13,167.69,54.09,6.29
351,Barkot,0,IN,1545291000,35,30.81,78.21,69.8,5.82
352,Ishigaki,20,JP,1545289200,57,24.34,124.16,77.0,5.82
353,Denham Springs,90,US,1545291300,99,30.49,-90.96,56.66,6.96
354,Cockburn Town,0,TC,1545291902,100,21.46,-71.14,79.79,19.48
355,Auki,0,NG,1545292179,30,12.18,6.51,74.12,14.34
356,Qasigiannguit,92,GL,1545288600,92,68.82,-51.19,26.6,4.5
357,Prince Rupert,90,CA,1545289200,93,54.32,-130.32,35.6,2.24
358,Saratoga Springs,1,US,1545288900,81,43.08,-73.79,24.8,2.15
359,Kaitangata,24,NZ,1545291784,80,-46.28,169.85,52.07,8.52
360,Langsa,88,ID,1545292181,95,4.47,97.97,77.72,2.15
361,Piacabucu,32,BR,1545292181,85,-10.41,-36.43,72.99,4.61
362,Jiayuguan,32,CN,1545292181,79,39.77,98.29,21.74,2.04
363,Panjab,12,AF,1545292181,82,34.38,67.02,19.49,1.25
364,Aykhal,44,RU,1545292181,44,65.95,111.51,-29.12,2.93
365,San Luis,0,AR,1545292023,55,-33.3,-66.34,62.64,7.63
366,Faya,0,SA,1545289200,45,18.39,42.45,68.0,9.17
367,Antsohihy,20,MG,1545292183,62,-14.88,47.99,90.09,5.73
368,Lasa,20,CY,1545289200,77,34.92,32.53,60.8,4.7
369,Richards Bay,80,ZA,1545292104,87,-28.77,32.06,72.9,8.97
370,Vitre,0,FR,1545289200,93,48.12,-1.21,42.8,9.17
371,Alvorada,12,BR,1545289200,94,-30.0,-51.08,73.4,2.24
372,Havre-Saint-Pierre,90,CA,1545289200,61,50.23,-63.6,15.8,16.11
373,Pitimbu,40,BR,1545289200,94,-7.47,-34.81,73.4,5.82
374,Tamala,92,RU,1545292184,91,52.54,43.26,12.74,6.4
